id;categoria;fecha_otorgamiento;fecha_vencimiento
1;Ameliorated;2019-11-01T15:20:45;2019-10-31T20:39:59
2;navigating;2019-11-01T03:04:00;2019-11-01T03:14:45
3;Rustic Frozen Keyboard ROI;2019-11-01T14:00:54;2019-11-01T06:35:18
4;microchip;2019-11-01T03:55:31;2019-10-31T21:20:21
5;invoice;2019-11-01T07:22:09;2019-11-01T02:03:38
6;Jamaica Credit Card Account;2019-11-01T09:41:58;2019-11-01T18:37:28
7;Louisiana;2019-11-01T15:57:44;2019-11-01T01:34:54
8;Garden;2019-11-01T16:59:03;2019-11-01T17:34:00
9;Small;2019-11-01T12:17:45;2019-10-31T23:14:20
10;Colombian Peso Unidad de Valor Real Bridge Handmade;2019-11-01T07:58:16;2019-11-01T00:24:15
