id;nombre_espacio_comun;disponibilidad_desde;disponibilidad_hasta;foto_espacio_comun;foto_espacio_comun_content_type;hora_desde;hora_hasta
1;Ergonomic Concrete Soap Zambian Kwacha;2019-11-01T11:09:44;2019-11-01T16:24:28;../fake-data/blob/hipster.png;image/png;2019-11-01T13:40:11;2019-11-01T07:19:48
2;FTP;2019-11-01T01:59:29;2019-10-31T23:24:07;../fake-data/blob/hipster.png;image/png;2019-11-01T03:02:30;2019-11-01T16:29:27
3;array France protocol;2019-11-01T09:41:42;2019-11-01T00:19:38;../fake-data/blob/hipster.png;image/png;2019-11-01T13:37:15;2019-10-31T22:57:37
4;Senior Avon;2019-11-01T07:44:00;2019-11-01T04:42:02;../fake-data/blob/hipster.png;image/png;2019-11-01T00:36:39;2019-11-01T15:06:26
5;Handcrafted Cotton Bacon Unbranded Fresh Pants;2019-11-01T19:06:25;2019-11-01T10:45:21;../fake-data/blob/hipster.png;image/png;2019-11-01T05:52:38;2019-11-01T17:30:51
6;North Dakota Garden;2019-11-01T08:35:44;2019-11-01T16:02:56;../fake-data/blob/hipster.png;image/png;2019-11-01T06:44:47;2019-10-31T20:12:21
7;generating;2019-10-31T23:07:13;2019-11-01T19:02:16;../fake-data/blob/hipster.png;image/png;2019-11-01T13:45:49;2019-11-01T18:52:24
8;compressing;2019-11-01T11:07:31;2019-11-01T06:52:48;../fake-data/blob/hipster.png;image/png;2019-11-01T16:43:13;2019-11-01T11:55:49
9;synthesizing composite;2019-10-31T20:36:14;2019-11-01T04:49:14;../fake-data/blob/hipster.png;image/png;2019-11-01T08:47:44;2019-11-01T17:43:17
10;Intelligent Granite Shirt Peru deposit;2019-11-01T02:20:37;2019-11-01T16:35:02;../fake-data/blob/hipster.png;image/png;2019-10-31T20:20:58;2019-10-31T20:30:04
