id;fecha_hora_mensaje;descripcion_mensaje;estado_mensaje
1;2019-11-01T16:03:55;Haven Montenegro Fantastic Plastic Table;Bahamas
2;2019-11-01T06:35:46;orange Trinidad and Tobago Dollar Gorgeous;UAE Dirham
3;2019-11-01T01:31:29;Investment Account;Investment Account cross-platform
4;2019-11-01T17:12:33;transmitting parse infrastructures;matrix Implementation Shirt
5;2019-11-01T18:10:27;synthesize Arizona synthesizing;synthesizing
6;2019-11-01T01:45:29;back-end;Mouse open-source payment
7;2019-11-01T07:13:00;granular HDD whiteboard;Lights interface Central
8;2019-11-01T04:47:30;Saint Helena;Borders Grass-roots
9;2019-10-31T22:10:50;synthesize Bahrain;Pre-emptive Bouvet Island (Bouvetoya) experiences
10;2019-11-01T11:46:57;array Belize Dollar;optical
