id;autorizado_previo;acompaniantes;fecha_ingreso;fecha_egreso;tipovisita;ingreso_a_pie
1;false;34630;2019-11-01T15:36:47;2019-11-01T08:37:04;withdrawal Generic Frozen Tuna;true
2;false;26089;2019-11-01T10:46:45;2019-11-01T19:24:09;Optimization Cambridgeshire;true
3;true;68396;2019-11-01T15:51:34;2019-11-01T04:59:22;Web;true
4;false;86719;2019-11-01T05:42:41;2019-11-01T04:29:47;multi-byte Jamaican Dollar North Carolina;false
5;false;81120;2019-11-01T06:40:30;2019-11-01T00:04:29;Investment Account parsing invoice;false
6;false;27396;2019-11-01T18:06:18;2019-11-01T14:37:11;utilize;false
7;false;61825;2019-11-01T03:22:40;2019-11-01T11:41:33;withdrawal;false
8;true;68161;2019-11-01T19:12:41;2019-11-01T11:35:42;directional Avon Solomon Islands Dollar;false
9;true;93664;2019-10-31T22:42:38;2019-11-01T18:49:46;schemas Specialist China;false
10;true;56852;2019-11-01T00:24:21;2019-11-01T05:56:52;interface Cotton Robust;true
