id;codigo_qr;fecha_fin_qr;foto_qr;foto_qr_content_type;tipo_visira
1;JSON Texas;2019-11-01T14:02:37;../fake-data/blob/hipster.png;image/png;Dobra application
2;Fantastic;2019-10-31T22:06:32;../fake-data/blob/hipster.png;image/png;Berkshire navigating
3;superstructure;2019-11-01T17:22:13;../fake-data/blob/hipster.png;image/png;Small Frozen Salad bypassing
4;time-frame Quality;2019-10-31T20:57:20;../fake-data/blob/hipster.png;image/png;Missouri deposit
5;Gorgeous Money Market Account;2019-11-01T06:28:52;../fake-data/blob/hipster.png;image/png;ivory Data neural
6;Unbranded;2019-11-01T07:54:14;../fake-data/blob/hipster.png;image/png;Tasty Rubber Car mindshare EXE
7;bandwidth Liaison;2019-11-01T03:15:26;../fake-data/blob/hipster.png;image/png;generating SDD bypassing
8;Algerian Dinar Fantastic Fresh Salad;2019-11-01T02:49:13;../fake-data/blob/hipster.png;image/png;Sleek
9;Visionary;2019-11-01T05:49:07;../fake-data/blob/hipster.png;image/png;PCI SAS
10;Interactions;2019-10-31T20:06:22;../fake-data/blob/hipster.png;image/png;navigate repurpose
